ClaimID,ProjectID,EmployeeID,CurrencyID,ExpenseDate,Amount,Purpose,ChargeToDefaultDept,AlternativeDeptCode,Status,LastEditedClaimDate
11147,10001,10011,SGD,"2023-04-29 08:30:00",100.50,"Banking tech",0,,Pending,"2023-04-30 10:00:00"
11148,10002,10015,IDR,"2023-04-28 10:00:00",250.75,Operations,0,,Approved,"2023-04-30 11:30:00"
11149,10003,10014,JPY,"2023-04-27 13:45:00",500.00,"Banking operations",0,,Rejected,"2023-04-30 12:15:00"
11150,10004,10018,SGD,"2023-04-26 15:30:00",175.25,"Banking tech",1,105,Pending,"2023-04-30 13:00:00"
11151,10005,10020,KRW,"2023-04-25 17:15:00",350.00,"Banking operations",0,,Pending,"2023-04-30 14:30:00"
11152,10006,10012,IDR,"2023-04-24 19:00:00",50.00,"Banking tech",0,,Approved,"2023-04-30 15:45:00"
11156,10006,10018,JPY,"2023-04-29 09:12:00",5000.00,"Banking software upgrade",0,,Approved,"2023-04-30 13:28:00"
11157,10007,10020,IDR,"2023-04-28 11:30:00",1000000.00,"Operations software license fee",0,,Pending,"2023-04-30 13:30:00"
11158,10002,10016,SGD,"2023-04-27 15:45:00",250.00,"Banking conference registration fee",1,104,Pending,"2023-04-30 13:32:00"
11159,10008,10010,INR,"2023-04-26 10:20:00",7500.00,"Operations training program fee",0,,Approved,"2023-04-30 13:34:00"
11160,10009,10019,KHR,"2023-04-25 14:00:00",150.00,"Banking seminar fee",0,,Rejected,"2023-04-30 13:36:00"
11161,10003,10015,HKD,"2023-04-24 12:30:00",2000.00,"Operations software upgrade",0,,Pending,"2023-04-30 13:38:00"
11164,10004,10011,SGD,"2023-04-29 10:00:00",25.00,"IT support",0,,Pending,"2023-04-29 10:30:00"
11165,10005,10012,IDR,"2023-04-28 14:30:00",2000000.00,"Hardware purchase",1,105,Approved,"2023-04-29 09:30:00"
11166,10002,10011,KRW,"2023-04-28 16:45:00",15000.00,"Printing materials",0,,Rejected,"2023-04-29 11:00:00"
11167,10007,10012,VND,"2023-04-27 13:15:00",750000.00,"Data entry software",0,,Pending,"2023-04-29 08:45:00"
11168,10006,10016,CNY,"2023-04-26 11:30:00",500.00,"Office supplies",0,,Approved,"2023-04-29 10:15:00"
11169,10010,10019,TWD,"2023-04-25 09:45:00",8000.00,Telecommunications,0,,Pending,"2023-04-29 09:00:00"
11170,10009,10019,SGD,"2023-04-27 10:12:45",232.50,"IT infrastructure upgrade",0,105,Pending,"2023-04-29 13:45:00"
11171,10001,10016,JPY,"2023-04-28 08:30:15",15900.00,"Bank reconciliation software",0,,Pending,"2023-04-29 14:25:00"
11172,10010,10010,INR,"2023-04-28 16:45:30",4500.00,"Teleconferencing equipment",0,,Pending,"2023-04-29 15:10:00"
11173,10008,10012,IDR,"2023-04-29 09:15:00",2100000.00,"Core banking system upgrade",0,,Pending,"2023-04-30 09:20:00"
11174,10005,10013,TWD,"2023-04-29 11:30:45",20000.00,"Mobile banking app development",0,,Pending,"2023-04-30 11:45:00"
11175,10002,10010,SGD,"2023-04-29 13:20:00",750.00,"Travel expenses for IT training",0,,Pending,"2023-04-30 14:30:00"
11176,10006,10018,CNY,"2023-04-30 08:45:00",8000.00,"Cloud storage subscription",0,,Pending,"2023-04-30 09:15:00"
11177,10003,10015,HKD,"2023-04-30 11:30:00",5500.00,"Hardware maintenance contract renewal",0,,Pending,"2023-04-30 12:00:00"
11178,10007,10011,KHR,"2023-04-30 14:15:30",600000.00,"Server upgrade",0,,Pending,"2023-04-30 14:45:00"
11179,10004,10020,VND,"2023-04-30 16:00:00",1800000.00,"Data analytics software license",0,,Pending,"2023-04-30 16:00:00"
11210,10007,10020,SGD,"2023-04-27 09:30:00",15.50,"IT Equipment Purchase",0,,Approved,"2023-04-28 10:15:00"
11211,10005,10011,KRW,"2023-04-28 14:20:00",200000.00,"Training Course Fees",0,,Pending,"2023-04-28 16:35:00"
11212,10003,10016,HKD,"2023-04-29 08:45:00",2500.00,"Business Lunch Meeting",1,103,Pending,"2023-04-29 12:20:00"
11213,10004,10012,CNY,"2023-04-29 15:00:00",500.00,"Stationery and Supplies",0,,Rejected,"2023-04-30 09:45:00"
11214,10010,10014,IDR,"2023-04-29 10:00:00",75000.00,"Marketing Materials",0,,Pending,"2023-04-30 11:30:00"
11215,10002,10020,INR,"2023-04-30 13:45:00",8000.00,"Team Building Event",0,,Approved,"2023-04-30 16:20:00"
11216,10005,10011,SGD,"2023-04-29 08:30:00",56.72,"Banking Operations Training",1,105,Pending,"2023-04-29 14:30:00"
11217,10008,10012,JPY,"2023-04-28 10:45:00",3480.00,"IT Infrastructure Upgrade",0,,Approved,"2023-04-29 09:20:00"
11218,10001,10013,IDR,"2023-04-26 15:15:00",900000.00,"Marketing Campaign Expenses",0,,Rejected,"2023-04-27 11:30:00"
11219,10003,10014,HKD,"2023-04-24 12:30:00",1200.50,"Office Supplies Purchase",0,,Pending,"2023-04-26 16:45:00"
11220,10006,10015,KHR,"2023-04-23 11:00:00",150000.00,"Client Meeting Expenses",0,,Approved,"2023-04-25 14:15:00"
11221,10007,10016,INR,"2023-04-22 14:45:00",3000.00,"Travel Expenses",0,,Pending,"2023-04-24 16:30:00"
11222,10008,10014,VND,"2023-04-22 13:30:00",450000.00,"Banking equipment repair",0,103,Rejected,"2023-04-23 14:00:00"
11223,10006,10019,HKD,"2023-04-27 09:00:00",800.00,"Banking operations training course",0,,Pending,"2023-04-27 16:30:00"
11224,10005,10017,CNY,"2023-04-25 15:00:00",600.00,"Banking software maintenance",0,,Approved,"2023-04-26 10:15:00"
11225,10007,10016,IDR,"2023-04-28 14:30:00",300.00,"Banking Tech",0,,Pending,"2023-04-28 18:45:00"
11226,10003,10018,JPY,"2023-04-27 10:00:00",1500.00,Operations,0,,Approved,"2023-04-27 14:15:00"
11227,10010,10012,KRW,"2023-04-26 13:00:00",800.00,"Banking Operations",0,,Rejected,"2023-04-26 17:30:00"
11228,10002,10011,SGD,"2023-04-25 09:30:00",75.00,"Banking Tech",0,,Pending,"2023-04-25 13:45:00"
11229,10005,10017,INR,"2023-04-24 16:00:00",900.00,"Banking Operations",0,,Pending,"2023-04-24 20:15:00"
11231,10005,10017,INR,"2023-04-24 17:00:00",100.00,"Banking Operations",0,,Pending,"2023-04-24 20:17:00"
12230,10004,10013,SGD,"2023-04-29 08:00:00",250.00,"Banking Operations",0,,Pending,"2023-04-29 12:30:00"
